timestamp,activity_name,source,details,case_id,mapped_activity,concept:name,deviance_category,deviance_rationale
00:00:01,Shadow: Unscheduled discussion of housing challenges,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing challenges,Deviation: Shadow: Unscheduled discussion of housing challenges,innovation,rule:INNOVATION
00:01:01,Shadow: Unscheduled discussion of affordable housing investments,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing investments,Deviation: Shadow: Unscheduled discussion of affordable housing investments,innovation,rule:INNOVATION
00:01:31,Budget Amendments Discussion,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Budget Amendments Discussion,Deviation: Budget Amendments Discussion,N/A,formal_event
00:02:01,Shadow: Unscheduled discussion of affordable housing funding,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing funding,Deviation: Shadow: Unscheduled discussion of affordable housing funding,innovation,rule:INNOVATION
00:02:31,Shadow: Unscheduled discussion of affordable rental housing funding,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable rental housing funding,Deviation: Shadow: Unscheduled discussion of affordable rental housing funding,innovation,rule:INNOVATION
00:03:01,Shadow: Unscheduled discussion of affordable housing design review exceptions,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing design review exceptions,Deviation: Shadow: Unscheduled discussion of affordable housing design review exceptions,innovation,rule:INNOVATION
00:03:31,Shadow: Unscheduled discussion of city-funded units and executive order exhibits,Abstracted,Aggregated 3 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:04:01,Shadow: Unscheduled discussion of executive order and program design,Abstracted,Aggregated 4 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:04:31,Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,Abstracted,Aggregated 3 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,Deviation: Shadow: Unscheduled discussion of equity-centered program design and homelessness strategies,innovation,rule:INNOVATION
00:05:01,Shadow: Unscheduled discussion of strategies to prevent homelessness,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of strategies to prevent homelessness,Deviation: Shadow: Unscheduled discussion of strategies to prevent homelessness,innovation,rule:INNOVATION
00:05:31,Shadow: Unscheduled discussion of executive order,Abstracted,Aggregated 6 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:06:01,Shadow: Off-agenda discussion about community representation,Abstracted,Aggregated 3 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:06:31,Shadow: Off-agenda discussion about office preparation,Abstracted,Aggregated 5 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:07:01,Shadow: Unscheduled discussion of restrictive racial covenants,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of restrictive racial covenants,Deviation: Shadow: Unscheduled discussion of restrictive racial covenants,innovation,rule:INNOVATION
00:08:01,Shadow: Off-agenda discussion about community demographics,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Off-agenda discussion about community demographics,Deviation: Shadow: Off-agenda discussion about community demographics,innovation,rule:INNOVATION
00:08:31,Shadow: Unscheduled discussion of neighborhood issues and contract concerns,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of neighborhood issues and contract concerns,Deviation: Shadow: Unscheduled discussion of neighborhood issues and contract concerns,innovation,rule:INNOVATION
00:09:01,Shadow: Unscheduled discussion of anti-gentrification and reparations housing fund,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of anti-gentrification and reparations housing fund,Deviation: Shadow: Unscheduled discussion of anti-gentrification and reparations housing fund,innovation,rule:INNOVATION
00:09:31,Shadow: Unscheduled discussion of investment in impacted families,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of investment in impacted families,Deviation: Shadow: Unscheduled discussion of investment in impacted families,innovation,rule:INNOVATION
00:10:01,Shadow: Unscheduled discussion of red-lining policies in Seattle,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of red-lining policies in Seattle,Deviation: Shadow: Unscheduled discussion of red-lining policies in Seattle,innovation,rule:INNOVATION
00:10:31,Shadow: Unscheduled discussion of city affordability and growth,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of city affordability and growth,Deviation: Shadow: Unscheduled discussion of city affordability and growth,innovation,rule:INNOVATION
00:11:01,Shadow: Unscheduled discussion of housing and homelessness issues,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing and homelessness issues,Deviation: Shadow: Unscheduled discussion of housing and homelessness issues,innovation,rule:INNOVATION
00:11:31,Shadow: Unscheduled discussion about housing advocacy,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion about housing advocacy,Deviation: Shadow: Unscheduled discussion about housing advocacy,innovation,rule:INNOVATION
00:12:01,Shadow: Unscheduled discussion of housing stabilization efforts,Abstracted,Aggregated 8 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing stabilization efforts,Deviation: Shadow: Unscheduled discussion of housing stabilization efforts,innovation,rule:INNOVATION
00:12:31,Shadow: Unscheduled discussion of faith-based community and housing investment,Abstracted,Aggregated 7 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of faith-based community and housing investment,Deviation: Shadow: Unscheduled discussion of faith-based community and housing investment,innovation,rule:INNOVATION
00:13:01,Shadow: Unscheduled discussion of $350 million housing investment,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of $350 million housing investment,Deviation: Shadow: Unscheduled discussion of $350 million housing investment,innovation,rule:INNOVATION
00:14:01,Other Business,Abstracted,Aggregated 5 events,Meeting_1,Other Business,Other Business,N/A,formal_event
00:14:31,Shadow: Unscheduled discussion of affordable housing crisis,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of affordable housing crisis,Deviation: Shadow: Unscheduled discussion of affordable housing crisis,innovation,rule:INNOVATION
00:15:01,Shadow: Discussion on affordable housing crisis,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Discussion on affordable housing crisis,Deviation: Shadow: Discussion on affordable housing crisis,innovation,rule:INNOVATION
00:15:31,Shadow: Discussion on extraordinary capacity of members,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Discussion on extraordinary capacity of members,Deviation: Shadow: Discussion on extraordinary capacity of members,innovation,rule:INNOVATION
00:16:01,Approval Of Consent Calendar,Abstracted,Aggregated 4 events,Meeting_1,Approval Of Consent Calendar,Approval Of Consent Calendar,N/A,formal_event
00:17:01,Public Comment,Abstracted,Aggregated 5 events,Meeting_1,Public Comment,Public Comment,N/A,formal_event
00:18:31,Shadow: Off-agenda discussion of community partnerships,Abstracted,Aggregated 5 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:19:01,Shadow: Discussion about St. Vincent de Paul's work in Seattle,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Discussion about St. Vincent de Paul's work in Seattle,Deviation: Shadow: Discussion about St. Vincent de Paul's work in Seattle,innovation,rule:INNOVATION
00:19:31,Public Comment,Abstracted,Aggregated 5 events,Meeting_1,Public Comment,Public Comment,N/A,formal_event
00:20:01,Shadow: Off-agenda discussion about partnership with the city of Seattle,Abstracted,Aggregated 4 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:20:31,Shadow: Unscheduled discussion of community impact and funding flexibility,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of community impact and funding flexibility,Deviation: Shadow: Unscheduled discussion of community impact and funding flexibility,innovation,rule:INNOVATION
00:21:01,Shadow: Unscheduled discussion of community impact from flexible dollars,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of community impact from flexible dollars,Deviation: Shadow: Unscheduled discussion of community impact from flexible dollars,innovation,rule:INNOVATION
00:21:31,Shadow: Unscheduled discussion of eviction support services,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of eviction support services,Deviation: Shadow: Unscheduled discussion of eviction support services,innovation,rule:INNOVATION
00:22:01,Shadow: Unscheduled discussion of case management support,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of case management support,Deviation: Shadow: Unscheduled discussion of case management support,innovation,rule:INNOVATION
00:22:31,Shadow: Unscheduled discussion of housing instability and eviction prevention,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing instability and eviction prevention,Deviation: Shadow: Unscheduled discussion of housing instability and eviction prevention,innovation,rule:INNOVATION
00:23:01,Public Comment,Abstracted,Aggregated 4 events,Meeting_1,Public Comment,Public Comment,N/A,formal_event
00:23:31,Shadow: Off-agenda discussion about Roxanne Buchanan,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Off-agenda discussion about Roxanne Buchanan,Deviation: Shadow: Off-agenda discussion about Roxanne Buchanan,innovation,rule:INNOVATION
00:24:01,Approval Of Consent Calendar,Abstracted,Aggregated 6 events,Meeting_1,Approval Of Consent Calendar,Approval Of Consent Calendar,N/A,formal_event
00:24:31,Shadow: Discussion about Bryant Manor construction and housing in Seattle,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Discussion about Bryant Manor construction and housing in Seattle,Deviation: Shadow: Discussion about Bryant Manor construction and housing in Seattle,innovation,rule:INNOVATION
00:25:01,Shadow: Discussion on housing for additional families in Seattle,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Discussion on housing for additional families in Seattle,Deviation: Shadow: Discussion on housing for additional families in Seattle,innovation,rule:INNOVATION
00:25:31,Shadow: Discussion about Seattle housing department under Bruce Harrell's administration,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Discussion about Seattle housing department under Bruce Harrell's administration,Deviation: Shadow: Discussion about Seattle housing department under Bruce Harrell's administration,innovation,rule:INNOVATION
00:26:01,Shadow: Off-agenda discussion of community appreciation,Abstracted,Aggregated 6 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,benign,rule:BENIGN_FLEXIBILITY
00:26:31,Public Comment,Abstracted,Aggregated 4 events,Meeting_1,Public Comment,Public Comment,N/A,formal_event
00:27:01,Shadow: Unscheduled discussion of community room features,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of community room features,Deviation: Shadow: Unscheduled discussion of community room features,innovation,rule:INNOVATION
00:27:31,Shadow: Discussion about community room features and past residents,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Discussion about community room features and past residents,Deviation: Shadow: Discussion about community room features and past residents,innovation,rule:INNOVATION
00:28:31,Approval Of Consent Calendar,Abstracted,Aggregated 6 events,Meeting_1,Approval Of Consent Calendar,Approval Of Consent Calendar,N/A,formal_event
00:29:31,Support You,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Support You,Deviation: Support You,N/A,formal_event
00:30:01,Public Comment,Abstracted,Aggregated 5 events,Meeting_1,Public Comment,Public Comment,N/A,formal_event
00:30:31,Shadow: Off-agenda discussion about childhood baseball coaching,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Off-agenda discussion about childhood baseball coaching,Deviation: Shadow: Off-agenda discussion about childhood baseball coaching,innovation,rule:INNOVATION
00:31:01,Shadow: Speaker activity during discussion,Abstracted,Aggregated 5 events,Meeting_1,Presentations,Presentations,innovation,rule:INNOVATION
00:31:31,Shadow: Off-agenda discussion about council president's rhetoric,Abstracted,Aggregated 5 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:32:01,Shadow: Off-agenda debate on presidential rhetoric,Abstracted,Aggregated 5 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:32:31,Shadow: Discussion on executive order,Abstracted,Aggregated 5 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:33:31,Budget Amendments Discussion,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Budget Amendments Discussion,Deviation: Budget Amendments Discussion,N/A,formal_event
00:34:31,Shadow: Discussion about housing and budget deficit,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Discussion about housing and budget deficit,Deviation: Shadow: Discussion about housing and budget deficit,innovation,rule:INNOVATION
00:35:01,Budget Amendments Discussion,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Budget Amendments Discussion,Deviation: Budget Amendments Discussion,N/A,formal_event
00:35:31,Shadow: Unscheduled discussion of legislative data,Abstracted,Aggregated 4 events,Meeting_1,Committee Reports,Committee Reports,innovation,rule:INNOVATION
00:36:31,Shadow: Unscheduled discussion about central district concerns,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion about central district concerns,Deviation: Shadow: Unscheduled discussion about central district concerns,innovation,rule:INNOVATION
00:37:01,Shadow: Discussion on harm to homeowners in the central district,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Discussion on harm to homeowners in the central district,Deviation: Shadow: Discussion on harm to homeowners in the central district,innovation,rule:INNOVATION
00:37:31,Resolution on Transportation Hub,Abstracted,Aggregated 5 events,Meeting_1,Resolution on Transportation Hub,Resolution on Transportation Hub,N/A,formal_event
00:38:01,Approval Of The Agenda,Abstracted,Aggregated 6 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,N/A,formal_event
00:38:31,Shadow: Unscheduled discussion of legislation to prevent predatory home buying practices,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of legislation to prevent predatory home buying practices,Deviation: Shadow: Unscheduled discussion of legislation to prevent predatory home buying practices,innovation,rule:INNOVATION
00:39:01,Shadow: Unscheduled discussion of property preservation plan,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of property preservation plan,Deviation: Shadow: Unscheduled discussion of property preservation plan,innovation,rule:INNOVATION
00:39:31,Shadow: Unscheduled discussion on 30 percent AMI,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion on 30 percent AMI,Deviation: Shadow: Unscheduled discussion on 30 percent AMI,innovation,rule:INNOVATION
00:41:31,Shadow: Unscheduled discussion of regional shelter approach,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of regional shelter approach,Deviation: Shadow: Unscheduled discussion of regional shelter approach,innovation,rule:INNOVATION
00:43:01,Shadow: Reminder about overlooked individuals,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Reminder about overlooked individuals,Deviation: Shadow: Reminder about overlooked individuals,violation,llm
00:43:31,Shadow: Unscheduled discussion about community understanding,Abstracted,Aggregated 5 events,Meeting_1,Deviation: Shadow: Unscheduled discussion about community understanding,Deviation: Shadow: Unscheduled discussion about community understanding,innovation,rule:INNOVATION
00:44:01,Shadow: Off-agenda discussion about community issues,Abstracted,Aggregated 4 events,Meeting_1,Approval Of The Agenda,Approval Of The Agenda,innovation,rule:INNOVATION
00:45:31,Shadow: Unscheduled discussion of housing costs,Abstracted,Aggregated 4 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing costs,Deviation: Shadow: Unscheduled discussion of housing costs,innovation,rule:INNOVATION
00:46:01,Shadow: Unscheduled discussion of housing increases,Abstracted,Aggregated 6 events,Meeting_1,Deviation: Shadow: Unscheduled discussion of housing increases,Deviation: Shadow: Unscheduled discussion of housing increases,innovation,rule:INNOVATION
00:46:31,Shadow: Speaker activity during standing discussion,Abstracted,Aggregated 4 events,Meeting_1,Presentations,Presentations,innovation,rule:INNOVATION
